geneID,Puncta in P1 (2-cell),Puncta in P2 (4-cell),Puncta in P3 (8-cell),Puncta in P4 (28-cell),Pattern consistent with enrichment in Z2/Z3 (100-cell),Group,Additional comments on RNA localization,Group I RNAi results,"avg_mRNA_fpm from Lee et al., 2020","avg_Rb_fpm from Lee et al., 2020",TE (ave_Rb_fpm / avg_mRNA_fpm),WBgene,Embryonic lethality in N2 or rrf-3 (data from Wormbase)
num-1,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),63.86591167,97.19208523,1.521814732,WBGene00003830,
oma-2,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),60.82861603,4.016601831,0.066031452,WBGene00003865,Embryonic lethal
pdp-1,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,not significantly sterile in N2 or grif-1(ax4524),57.87569364,21.22390319,0.366715314,WBGene00022832,
pst-1,+,+,+,+,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak",not significantly sterile in N2 or grif-1(ax4524),11.65999934,8.091151825,0.693923866,WBGene00004206,Embryonic lethal
ptr-2,+,+,+,+,+,Group I,,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",48.51860443,4.528067042,0.093326407,WBGene00004217,Embryonic lethal
puf-3,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,sterility in N2,33.41804346,4.933984492,0.147644326,WBGene00004239,Embryonic lethal
puf-5,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),92.02315902,13.41492012,0.145777653,WBGene00004241,Embryonic arrest
puf-6,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,sterility in grif-1(ax4524) ,24.32753897,10.03063258,0.41231596,WBGene00004242,
puf-7,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,sterility in grif-1(ax4524) ,14.66921423,6.963376605,0.474693225,WBGene00004243,
pup-2,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),196.8697494,106.7497374,0.54223535,WBGene00019628,
R74.8,+,+,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),69.56753807,34.08774552,0.489994996,WBGene00011282,
rbg-3,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),48.59700213,9.158960486,0.188467603,WBGene00007167,
rnp-8,+,+,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),33.00845002,27.3927222,0.829869993,WBGene00020091,
sgt-1,+,+,+,-,+,Group I,RNA localizes to puncta in somatic cells,not significantly sterile in N2 or grif-1(ax4524),122.0185748,262.8080318,2.153836268,WBGene00019893,
